Property_ID,Date,City,Locality,State,Property_Type,BHK,Area_Sqft,Property_Age_Years,Sale_Price_Lakh,Price_per_Sqft,Monthly_Rent,Rental_Yield_Percent,New_Listings,Units_Sold,Unsold_Inventory,Days_on_Market,Demand_Index,Supply_Index,Interest_Rate_Percent,Inflation_Percent,GDP_Growth_Percent,Metro_Distance_Km,Latitude,Longitude
PROP00036,2022-07-01,Mumbai,Powai,Maharashtra,Villa,1,577,10,187.34,32468.61,40932,2.62,210,112,387,66,72.2,71.5,6.14,5.13,6.77,0.9,19.113122,72.907791
PROP00037,2024-09-01,Mumbai,Andheri,Maharashtra,Apartment,4,1790,1,320.83,17923.47,58818,2.2,123,85,227,83,87.9,81.1,6.17,5.23,6.37,10.3,19.119746,72.845603
PROP00038,2024-01-01,Bengaluru,Yelahanka,Karnataka,Apartment,4,1817,7,188.29,10362.63,69630,4.44,195,110,409,48,92.1,73.0,6.03,4.75,6.05,8.6,13.107416,77.601737
PROP00039,2022-08-01,Mumbai,Borivali,Maharashtra,Apartment,2,1088,14,176.19,16194.14,45761,3.12,218,105,484,77,78.9,84.8,6.01,4.51,6.45,0.9,19.225699,72.858745
PROP00040,2024-12-01,Kolkata,Rajarhat,West Bengal,Villa,1,563,12,54.54,9687.65,16820,3.7,172,108,370,77,66.5,67.3,5.93,4.86,6.58,0.4,22.620288,88.482212
PROP00041,2026-03-01,Pune,Kharadi,Maharashtra,Independent House,2,887,3,80.9,9120.49,33603,4.98,68,52,116,72,72.8,52.4,6.12,3.8,6.64,7.0,18.546589,73.945481
PROP00042,2025-11-01,Kolkata,Garia,West Bengal,Villa,1,550,4,70.94,12897.98,25260,4.27,158,101,413,80,87.0,64.5,5.97,5.44,6.37,5.8,22.465634,88.385124
PROP00043,2025-06-01,Hyderabad,Kondapur,Telangana,Apartment,3,1322,0,100.0,7564.15,38432,4.61,181,111,340,63,84.0,59.2,6.02,5.13,6.15,11.5,17.469952,78.358132
PROP00044,2022-06-01,Hyderabad,Miyapur,Telangana,Apartment,2,975,16,75.78,7772.57,24804,3.93,154,94,287,44,73.1,55.5,5.89,4.63,6.3,2.2,17.497054,78.354953
PROP00045,2023-09-01,Mumbai,Borivali,Maharashtra,Apartment,2,1084,17,217.49,20063.51,75801,4.18,167,76,374,65,75.8,86.9,5.97,5.18,6.69,3.2,19.23465,72.86133
PROP00046,2025-12-01,Hyderabad,Kukatpally,Telangana,Apartment,2,1138,5,76.3,6704.55,30058,4.73,229,152,443,70,79.7,63.0,6.03,5.0,6.66,5.9,17.49149,78.415038
PROP00047,2026-04-01,Hyderabad,Kukatpally,Telangana,Apartment,1,602,7,56.0,9302.97,25342,5.43,164,133,279,26,86.0,61.8,5.89,5.2,6.67,4.3,17.482052,78.419282
PROP00048,2025-07-01,Mumbai,Andheri,Maharashtra,Apartment,3,1601,16,310.74,19409.28,79723,3.08,141,78,322,72,81.2,63.5,6.01,4.95,6.58,11.1,19.115701,72.842634
PROP00049,2023-05-01,Ahmedabad,Satellite,Gujarat,Apartment,2,1114,12,58.39,5241.12,24295,4.99,151,116,276,67,79.4,51.6,5.99,5.39,7.02,4.6,23.031059,72.508061
PROP00050,2024-07-01,Noida,Greater Noida West,Uttar Pradesh,Apartment,2,1140,19,75.4,6614.02,23126,3.68,174,118,308,81,83.2,69.8,6.06,4.44,7.0,9.4,28.59738,77.43082
PROP00051,2022-10-01,Noida,Sector 78,Uttar Pradesh,Apartment,2,901,5,64.21,7126.03,23277,4.35,63,32,134,93,62.8,66.7,6.13,5.09,6.32,0.6,28.565888,77.388994
PROP00052,2024-09-01,Delhi,Mayur Vihar,Delhi,Apartment,4,2471,17,311.25,12595.95,88607,3.42,131,93,201,81,72.5,64.8,5.93,4.91,6.54,5.9,28.601491,77.299888
PROP00053,2024-11-01,Kolkata,Ballygunge,West Bengal,Apartment,3,1409,7,85.58,6073.62,29461,4.13,163,120,282,72,73.6,57.3,5.94,4.9,5.94,2.6,22.527907,88.371276
PROP00054,2024-10-01,Pune,Kharadi,Maharashtra,Independent House,4,2288,1,209.14,9140.61,71834,4.12,84,50,157,65,77.1,57.0,6.03,5.36,6.56,11.9,18.556005,73.953317
PROP00055,2022-07-01,Kolkata,Garia,West Bengal,Apartment,2,1241,3,55.51,4472.61,23152,5.01,199,112,458,75,62.9,58.6,5.94,4.89,6.54,10.6,22.466535,88.383555
PROP00056,2024-05-01,Pune,Wakad,Maharashtra,Apartment,1,606,0,46.15,7616.26,16055,4.17,144,113,208,65,92.0,66.0,5.98,5.62,6.44,8.9,18.599947,73.763249
PROP00057,2024-06-01,Delhi,Vasant Kunj,Delhi,Apartment,2,1150,8,135.21,11757.17,41210,3.66,215,118,478,80,75.0,77.9,5.99,5.31,6.54,10.5,28.535192,77.144297
PROP00058,2022-11-01,Delhi,Saket,Delhi,Apartment,3,1771,6,196.38,11088.37,80960,4.95,141,99,187,68,89.2,67.4,5.96,4.96,5.94,6.9,28.524995,77.208065
PROP00059,2022-09-01,Mumbai,Thane,Maharashtra,Apartment,3,1423,17,227.13,15961.4,64116,3.39,228,144,430,81,83.8,71.2,6.19,5.88,6.07,8.3,19.22424,72.973867
PROP00060,2022-12-01,Bengaluru,Sarjapur Road,Karnataka,Apartment,2,881,2,76.8,8717.49,22901,3.58,198,125,374,57,98.0,70.4,5.83,4.38,5.87,7.5,12.905219,77.6903
PROP00061,2022-06-01,Noida,Sector 78,Uttar Pradesh,Apartment,4,2447,9,149.19,6096.88,53630,4.31,107,70,205,76,81.3,65.3,5.98,5.01,6.7,2.6,28.574208,77.394108
PROP00062,2024-08-01,Bengaluru,Whitefield,Karnataka,Apartment,2,1026,9,84.65,8250.14,28486,4.04,234,132,488,69,72.9,75.5,5.99,5.35,6.49,1.4,12.967871,77.753997
PROP00063,2025-11-01,Noida,Sector 150,Uttar Pradesh,Apartment,3,1368,11,120.8,8830.1,43645,4.34,153,111,248,71,90.4,80.3,5.99,5.73,6.63,0.6,28.484774,77.398318
PROP00064,2024-03-01,Delhi,Rohini,Delhi,Apartment,1,692,16,90.75,13114.0,29385,3.89,139,88,276,84,78.7,67.6,5.91,4.7,6.09,7.3,28.749714,77.048162
PROP00065,2024-04-01,Hyderabad,Manikonda,Telangana,Apartment,4,2159,15,138.73,6425.44,44889,3.88,163,108,369,66,88.2,58.9,6.07,4.33,6.92,2.2,17.404257,78.384111
PROP00066,2024-10-01,Kolkata,Garia,West Bengal,Apartment,2,1235,10,73.24,5930.68,20320,3.33,172,107,399,85,66.4,71.0,6.09,6.22,6.43,5.3,22.463711,88.386756
PROP00067,2023-08-01,Delhi,Vasant Kunj,Delhi,Independent House,1,799,4,108.41,13568.22,30856,3.42,247,121,522,73,68.1,72.9,6.01,4.89,6.37,1.0,28.522367,77.157548
PROP00068,2022-11-01,Ahmedabad,Chandkheda,Gujarat,Apartment,4,1920,1,98.4,5125.18,43370,5.29,136,106,247,73,77.4,50.0,6.07,5.66,6.93,6.0,23.10773,72.583341
PROP00069,2022-11-01,Delhi,Saket,Delhi,Apartment,1,648,11,78.32,12087.07,19563,3.0,219,134,422,78,79.8,57.2,5.93,5.53,6.39,2.1,28.522433,77.204277
PROP00070,2024-07-01,Ahmedabad,SG Highway,Gujarat,Independent House,2,1114,13,80.21,7199.76,22930,3.43,123,71,283,83,84.6,71.3,6.05,4.9,6.43,2.4,23.052505,72.517725
PROP00071,2022-09-01,Mumbai,Navi Mumbai,Maharashtra,Apartment,3,1489,18,304.42,20444.36,55809,2.2,141,104,202,87,81.1,71.6,5.99,5.16,6.01,3.0,19.032424,73.03086
PROP00072,2026-05-01,Mumbai,Thane,Maharashtra,Apartment,3,1405,9,289.9,20633.4,69892,2.89,264,185,539,73,92.3,72.5,6.12,4.67,6.2,5.3,19.222254,72.978261
PROP00073,2024-03-01,Bengaluru,Hebbal,Karnataka,Apartment,3,1503,7,103.74,6902.15,34804,4.03,104,52,283,80,82.4,83.3,6.09,5.05,6.62,8.6,13.032562,77.600512
PROP00074,2024-02-01,Mumbai,Navi Mumbai,Maharashtra,Apartment,2,949,6,163.87,17267.89,39877,2.92,113,72,175,71,72.7,74.9,6.0,5.6,6.62,5.8,19.034995,73.021271
PROP00075,2022-10-01,Noida,Sector 78,Uttar Pradesh,Apartment,2,975,0,50.5,5179.6,17198,4.09,154,97,252,45,72.5,78.4,6.03,4.92,6.35,5.7,28.572794,77.388318
PROP00076,2024-02-01,Pune,Baner,Maharashtra,Apartment,2,1030,11,90.67,8803.35,28157,3.73,106,86,162,79,84.7,54.8,6.07,4.95,6.98,11.3,18.551877,73.783587
PROP00077,2022-12-01,Kolkata,Salt Lake,West Bengal,Apartment,1,592,13,29.93,5055.27,10166,4.08,153,109,278,65,78.0,69.9,5.96,4.58,6.28,11.6,22.581048,88.416919
PROP00078,2023-12-01,Noida,Greater Noida West,Uttar Pradesh,Apartment,3,1585,16,93.62,5906.42,30964,3.97,155,100,289,75,85.5,54.1,5.99,4.95,5.93,4.6,28.607771,77.43106
PROP00079,2023-12-01,Chennai,Porur,Tamil Nadu,Villa,3,1514,15,201.07,13280.95,67109,4.01,146,88,332,52,87.4,60.1,6.03,5.61,6.68,9.6,13.037129,80.154465
PROP00080,2023-03-01,Kolkata,Ballygunge,West Bengal,Apartment,2,960,2,75.32,7846.32,21310,3.39,170,117,337,88,75.1,59.0,6.07,5.51,5.68,3.0,22.5285,88.370311
PROP00081,2022-06-01,Chennai,Velachery,Tamil Nadu,Apartment,2,1098,2,80.01,7286.48,27704,4.16,164,118,275,81,73.9,56.8,5.93,5.02,6.46,7.1,12.980785,80.215223
PROP00082,2026-02-01,Ahmedabad,Maninagar,Gujarat,Apartment,3,1409,14,83.61,5934.23,25126,3.61,250,158,477,93,82.1,63.1,6.15,4.69,6.58,10.5,22.996128,72.600205
PROP00083,2024-09-01,Kolkata,Rajarhat,West Bengal,Independent House,2,1242,5,95.14,7660.34,29954,3.78,102,69,231,66,71.9,54.3,6.1,4.76,6.59,4.9,22.626092,88.479061
PROP00084,2025-05-01,Ahmedabad,Satellite,Gujarat,Apartment,3,1373,15,87.63,6382.06,32474,4.45,144,130,193,66,93.0,49.8,5.87,5.11,7.17,5.6,23.026839,72.5126
PROP00085,2025-10-01,Bengaluru,Marathahalli,Karnataka,Apartment,3,1697,2,179.91,10601.59,57068,3.81,190,117,347,91,88.9,59.8,6.14,5.04,6.17,7.1,12.959393,77.69755
PROP00086,2025-12-01,Mumbai,Bandra,Maharashtra,Apartment,2,1226,14,257.56,21008.5,64966,3.03,146,78,323,60,76.0,74.0,6.11,4.65,6.3,9.3,19.057633,72.833071
PROP00087,2024-12-01,Pune,Viman Nagar,Maharashtra,Apartment,3,1751,5,173.68,9919.02,53262,3.68,115,83,166,59,80.5,58.6,6.04,4.45,6.79,5.5,18.579138,73.912494
PROP00088,2025-06-01,Delhi,Dwarka,Delhi,Apartment,2,883,13,125.79,14246.26,27476,2.62,171,108,294,79,88.6,76.7,6.15,5.5,5.94,2.4,28.596162,77.039367
PROP00089,2024-11-01,Chennai,OMR,Tamil Nadu,Apartment,3,1488,14,103.84,6978.74,33420,3.86,147,86,298,52,76.7,70.9,6.09,5.0,6.51,10.2,12.927389,80.222105
PROP00090,2023-04-01,Bengaluru,Hebbal,Karnataka,Apartment,2,1106,12,114.75,10374.79,38061,3.98,218,123,414,87,68.1,73.8,6.13,5.7,6.19,10.9,13.038789,77.59723
PROP00091,2024-11-01,Bengaluru,HSR Layout,Karnataka,Apartment,2,1069,12,93.42,8738.94,29335,3.77,97,59,119,73,84.1,75.0,5.97,4.83,6.73,2.4,12.912525,77.637703
PROP00092,2022-04-01,Kolkata,Garia,West Bengal,Apartment,3,1693,0,92.25,5448.7,38252,4.98,209,129,413,78,64.6,74.0,6.11,4.83,6.58,2.7,22.459753,88.382535
PROP00093,2026-04-01,Mumbai,Thane,Maharashtra,Apartment,2,1232,19,282.27,22911.63,95839,4.07,74,47,104,77,78.8,74.0,5.93,5.24,6.86,5.9,19.213752,72.969476
PROP00094,2022-03-01,Pune,Wakad,Maharashtra,Apartment,2,915,8,54.81,5990.01,23048,5.05,180,138,306,73,82.3,65.1,6.02,5.2,6.23,6.7,18.601907,73.751431
PROP00095,2026-03-01,Bengaluru,Yelahanka,Karnataka,Apartment,3,1588,10,175.83,11072.28,42506,2.9,106,85,137,78,92.8,68.9,6.12,4.23,6.36,11.3,13.105674,77.5909
PROP00096,2025-11-01,Mumbai,Borivali,Maharashtra,Apartment,3,1682,5,393.52,23395.94,77125,2.35,81,48,129,69,66.4,70.5,6.22,5.03,6.59,4.2,19.228084,72.857561
PROP00097,2022-02-01,Hyderabad,Miyapur,Telangana,Independent House,3,1495,3,128.72,8609.95,45014,4.2,165,90,326,84,75.9,66.4,6.04,4.86,6.54,7.5,17.491539,78.359279
PROP00098,2022-06-01,Mumbai,Navi Mumbai,Maharashtra,Apartment,2,984,9,183.73,18672.05,45721,2.99,168,95,314,60,73.8,70.1,6.09,5.25,6.58,7.3,19.033351,73.031268
PROP00099,2024-04-01,Ahmedabad,Chandkheda,Gujarat,Independent House,4,2288,15,157.29,6874.74,46360,3.54,104,79,199,55,83.4,61.0,6.2,5.3,6.5,11.4,23.109637,72.583888
PROP00100,2022-05-01,Bengaluru,Whitefield,Karnataka,Apartment,4,2371,10,220.22,9288.03,60252,3.28,46,25,78,93,71.9,72.1,6.02,5.3,6.36,4.9,12.972747,77.74815
PROP00101,2024-04-01,Pune,Wakad,Maharashtra,Apartment,2,1120,8,83.23,7431.42,25688,3.7,164,100,348,57,84.2,70.2,6.16,6.29,6.63,9.7,18.597729,73.755859
PROP00102,2025-03-01,Hyderabad,Gachibowli,Telangana,Apartment,4,2165,7,144.39,6669.14,54597,4.54,174,111,321,51,90.0,63.7,5.91,4.88,6.52,2.6,17.439962,78.349115
PROP00103,2023-07-01,Noida,Sector 150,Uttar Pradesh,Apartment,1,632,4,49.86,7889.37,16155,3.89,173,118,340,76,74.8,65.0,6.13,5.04,6.77,3.9,28.476782,77.399767
PROP00104,2026-06-01,Delhi,Mayur Vihar,Delhi,Apartment,1,619,13,68.95,11138.9,24480,4.26,163,96,343,87,71.8,65.7,6.08,5.22,6.41,10.6,28.60743,77.29486
PROP00105,2025-05-01,Noida,Sector 150,Uttar Pradesh,Apartment,2,981,9,84.61,8625.01,25450,3.61,172,121,297,78,82.3,77.5,6.0,4.84,6.59,2.3,28.481276,77.412036
PROP00106,2023-03-01,Delhi,Rohini,Delhi,Independent House,1,638,11,89.76,14068.7,27367,3.66,158,100,274,63,74.3,71.2,6.09,5.27,6.62,7.2,28.75221,77.053525
PROP00107,2025-03-01,Pune,Hinjewadi,Maharashtra,Independent House,2,891,6,100.35,11263.17,49159,5.88,125,72,214,73,68.3,61.8,5.97,5.15,6.52,8.6,18.593331,73.741312
PROP00108,2024-12-01,Jaipur,Vaishali Nagar,Rajasthan,Apartment,3,1495,1,75.96,5080.62,30830,4.87,189,97,369,67,68.8,75.0,6.07,5.08,5.85,3.4,26.912456,75.739139
PROP00109,2025-02-01,Delhi,Saket,Delhi,Apartment,2,1064,6,147.05,13820.38,44537,3.63,191,145,371,93,82.4,67.9,6.0,5.01,6.5,6.2,28.521803,77.200658
PROP00110,2024-10-01,Chennai,Anna Nagar,Tamil Nadu,Apartment,3,1575,17,126.05,8003.25,47547,4.53,180,109,309,87,92.2,69.8,6.0,4.53,6.49,9.2,13.08139,80.20888
PROP00111,2022-09-01,Mumbai,Borivali,Maharashtra,Apartment,2,1133,12,176.68,15594.19,45855,3.11,150,101,194,82,87.6,64.9,5.98,5.15,6.59,7.3,19.232904,72.847191
PROP00112,2022-05-01,Delhi,Greater Kailash,Delhi,Apartment,2,1155,7,119.3,10328.59,21870,2.2,114,64,264,78,73.0,73.0,5.83,4.42,7.16,7.0,28.541463,77.247441
PROP00113,2023-05-01,Mumbai,Bandra,Maharashtra,Apartment,2,1181,2,300.78,25468.13,55142,2.2,226,124,507,85,83.1,80.4,6.28,4.66,6.32,0.6,19.057639,72.82594
PROP00114,2023-01-01,Kolkata,Garia,West Bengal,Apartment,2,964,16,59.22,6143.26,23293,4.72,213,155,392,78,78.5,66.3,6.05,5.18,7.28,6.4,22.463678,88.390031
PROP00115,2025-06-01,Kolkata,Salt Lake,West Bengal,Apartment,2,950,16,66.83,7035.2,22075,3.96,154,73,340,113,63.5,66.9,6.14,5.47,6.8,7.2,22.57964,88.405781
PROP00116,2022-01-01,Jaipur,Jagatpura,Rajasthan,Apartment,4,2576,5,102.78,3989.78,46022,5.37,156,112,201,76,74.4,59.7,6.1,5.54,7.05,8.3,26.829008,75.844591
PROP00117,2026-02-01,Mumbai,Thane,Maharashtra,Apartment,2,1045,20,199.87,19125.98,49883,3.0,158,97,326,67,81.1,84.4,6.08,4.96,6.4,8.7,19.212169,72.976032
PROP00118,2025-02-01,Chennai,Tambaram,Tamil Nadu,Independent House,3,1354,13,103.51,7644.79,37167,4.31,120,69,227,77,65.5,70.1,6.02,5.26,6.34,8.7,12.926025,80.09721
PROP00119,2026-04-01,Ahmedabad,Bopal,Gujarat,Apartment,1,684,2,37.73,5515.95,13093,4.16,83,69,179,58,88.0,50.4,6.02,5.28,5.69,8.8,23.029877,72.4712
PROP00120,2022-03-01,Delhi,Rohini,Delhi,Apartment,2,914,7,126.98,13892.33,24977,2.36,155,114,237,59,83.3,62.9,6.1,5.45,6.45,10.6,28.751785,77.052614
PROP00121,2025-05-01,Kolkata,Salt Lake,West Bengal,Apartment,1,755,13,53.0,7020.43,18939,4.29,131,92,271,65,78.1,59.2,5.93,4.14,6.06,10.1,22.579782,88.409244
PROP00122,2024-06-01,Kolkata,Behala,West Bengal,Apartment,2,1009,11,56.99,5648.49,20272,4.27,119,76,156,78,76.0,68.8,6.14,4.87,7.14,7.2,22.49787,88.314857
PROP00123,2025-08-01,Hyderabad,Gachibowli,Telangana,Apartment,2,1054,10,75.05,7120.44,32396,5.18,125,79,318,73,78.6,69.4,5.9,4.75,6.93,0.6,17.441096,78.352935
PROP00124,2022-02-01,Hyderabad,Miyapur,Telangana,Apartment,3,1313,15,84.69,6449.75,30056,4.26,187,109,355,67,93.0,64.5,6.19,5.25,5.9,8.5,17.504029,78.355345
PROP00125,2023-08-01,Delhi,Mayur Vihar,Delhi,Apartment,1,569,12,67.93,11938.32,20958,3.7,153,81,290,64,78.8,71.5,5.95,5.28,6.72,11.4,28.608631,77.292718
PROP00126,2024-01-01,Pune,Baner,Maharashtra,Apartment,1,575,3,45.94,7989.19,12474,3.26,65,46,103,48,78.6,63.6,6.15,5.65,7.02,10.9,18.559184,73.792113
PROP00127,2024-08-01,Hyderabad,Hitech City,Telangana,Apartment,2,1223,14,99.66,8149.1,42074,5.07,150,107,239,56,93.1,65.1,6.18,5.62,6.15,8.7,17.447952,78.392859
PROP00128,2025-11-01,Chennai,Velachery,Tamil Nadu,Apartment,3,1436,15,111.41,7758.34,51556,5.55,91,55,222,77,81.0,73.1,5.93,5.47,6.31,10.1,12.981149,80.218819
PROP00129,2022-10-01,Chennai,Velachery,Tamil Nadu,Villa,3,1520,12,167.43,11015.03,48248,3.46,115,76,248,64,72.8,54.2,6.21,4.69,6.26,10.3,12.982346,80.215792
PROP00130,2023-04-01,Bengaluru,Hebbal,Karnataka,Apartment,2,1147,14,85.33,7439.1,29251,4.11,221,112,465,81,82.9,76.4,6.04,5.26,6.47,9.8,13.031973,77.602788
PROP00131,2023-05-01,Chennai,Tambaram,Tamil Nadu,Apartment,3,1376,16,88.09,6402.23,26520,3.61,163,106,302,79,75.8,63.3,6.0,4.68,6.38,9.0,12.92321,80.100475
PROP00132,2023-10-01,Noida,Sector 62,Uttar Pradesh,Independent House,1,727,6,63.54,8740.5,20997,3.97,230,142,386,81,76.5,72.1,6.18,4.9,6.85,9.5,28.621058,77.365465
PROP00133,2026-06-01,Ahmedabad,Satellite,Gujarat,Apartment,3,1268,11,65.18,5140.5,30740,5.66,161,112,262,81,83.8,65.8,6.0,5.38,6.92,5.5,23.025095,72.510101
PROP00134,2026-06-01,Jaipur,Ajmer Road,Rajasthan,Apartment,3,1370,18,54.59,3984.63,22100,4.86,157,86,286,77,73.6,62.1,6.19,4.22,6.56,8.3,26.898517,75.686381
